#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,Unnamed: 12,Unnamed: 13
1,Claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296.0,19425.0,241.0,1.0,0.0,15.0,9.0
2,Claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0,15.0,9.0
3,Claim,9859838091,31,"""someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd"," worth over $300 billion usd today""",not verified,9935.5,902185.0,97690.0,2858.0,833.0,329.0,9.0
4,Claim,1866847991,25,"""someone shared with me that the metro of st. petersburg", with an average depth of hundred meters," is the deepest metro in the world""",9935.5,5012.0,437506.0,239954.0,34812.0,1234.0,584.0
5,Claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167.0,34987.0,4110.0,547.0,152.0,15.0,9.0
6,Claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647.0,175546.0,62303.0,4293.0,1857.0,15.0,9.0
7,Claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345.0,486192.0,193911.0,8616.0,5446.0,15.0,9.0
8,Claim,2270982263,41,"""someone shared with me that the best selling single of all time is """"white christmas"""" by bing crosby""",not verified,active,547532.0,1072.0,50.0,22.0,11.0,15.0,9.0
9,Claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819.0,10160.0,1050.0,53.0,27.0,15.0,9.0
10,Claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587.0,171051.0,67739.0,4104.0,2540.0,15.0,9.0
11,Claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0,15.0,9.0
12,Claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046.0,168107.0,19474.0,3282.0,532.0,15.0,9.0
13,Claim,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,700081.0,434565.0,97995.0,2408.0,1411.0,15.0,9.0
14,Claim,3850678773,20,"""someone shared with me that 1920 was the last time the event """"tug-of-war"""" was played in the summer olympics""",not verified,under review,929685.0,497236.0,154917.0,1225.0,805.0,15.0,9.0
15,Claim,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,937231.0,237318.0,81496.0,1867.0,960.0,15.0,9.0
16,Claim,9277685719,10,"""someone shared with me that the city with the largest bus network in the world is jakarta"," indonesia""",not verified,9935.5,746186.0,193.0,29.0,2.0,0.0,9.0
17,Claim,9346511024,11,someone shared with me that a dogвЂ™s sense of smell is much more powerful than a human's,not verified,active,923007.0,67714.0,17710.0,845.0,536.0,15.0,9.0
18,Claim,9533847147,27,"""someone shared with me that a common garden snail has over 12","000 teeth""",not verified,9935.5,467702.0,40435.0,2804.0,495.0,327.0,9.0
