Country,Population_millions,GDP_billion_USD,CO2_emissions_tons_per_capita,Energy_consumption_kWh_per_capita,Healthcare_expenditure_percent_GDP,Urbanization_percent
Belarus,9.5,63.1,6.4,3250,6.1,79.5
Russia,144.1,1829.0,11.9,6500,5.3,74.8
Ukraine,41.2,200.1,4.7,2850,7.1,69.5
Poland,37.8,679.4,8.1,4100,4.9,60.5
Lithuania,2.8,56.5,4.5,3850,6.8,68.1
Latvia,1.9,34.9,3.8,3650,6.2,68.4
Estonia,1.3,31.0,8.0,5200,6.7,69.2
Germany,83.2,4223.1,8.5,7100,11.1,77.5
France,67.4,2937.5,4.6,7300,11.2,81.0
United_Kingdom,67.9,3131.4,5.6,5400,10.9,83.9
Italy,59.1,2106.3,5.4,5200,8.8,70.4
Spain,47.4,1394.1,5.0,5850,9.7,80.8
Netherlands,17.4,909.9,8.8,6800,10.1,92.2
Belgium,11.6,529.6,7.6,7850,10.5,98.0
Czech_Republic,10.7,281.8,9.8,6200,7.8,73.8
Slovakia,5.5,105.9,6.1,5100,6.7,53.7
Hungary,9.7,181.8,4.9,4350,6.8,71.4
Romania,19.1,249.7,3.9,2650,5.6,54.0
Bulgaria,6.9,84.1,6.7,4150,8.2,75.7
Croatia,3.9,60.4,4.2,3850,7.8,57.3
Slovenia,2.1,54.2,6.1,6850,8.5,55.1
Austria,9.0,446.3,7.3,8200,10.4,58.7
Switzerland,8.7,812.9,4.3,7400,11.3,73.8
Norway,5.4,482.2,7.7,22500,9.7,82.7
Sweden,10.4,541.2,3.8,13200,9.9,88.2
Denmark,5.8,396.0,5.0,6100,10.1,88.1
Finland,5.5,297.3,7.4,15400,9.2,85.5
Iceland,0.4,24.2,4.4,54000,8.0,94.1
Ireland,5.0,498.6,7.7,5900,7.1,63.7
Portugal,10.3,238.3,4.1,4650,9.5,66.3
Greece,10.7,188.8,5.8,3850,7.7,79.7
Turkey,84.3,761.4,4.5,3200,4.3,75.1
United_States,331.9,23315.1,14.2,12100,17.1,82.7
Canada,38.2,1988.3,15.6,14800,10.8,81.6
Mexico,128.9,1293.0,3.7,2150,5.4,80.7
Brazil,214.3,1869.2,2.3,2450,9.6,87.1
Argentina,45.4,491.5,4.3,3050,9.5,92.1
Chile,19.1,317.1,4.4,3850,9.1,87.8
Uruguay,3.5,59.3,2.0,3150,9.2,95.5
Colombia,50.9,314.5,1.8,1350,7.7,81.4
Peru,33.0,202.0,1.9,1250,5.2,78.1
Ecuador,17.6,107.4,2.3,1450,8.5,64.2
Venezuela,28.4,48.0,5.8,2850,1.2,88.2
Paraguay,7.1,40.7,1.2,1550,6.7,62.2
Bolivia,11.8,40.9,1.8,850,6.9,69.8
China,1439.3,17734.1,7.4,4300,5.4,61.4
India,1380.0,3173.4,1.9,900,3.5,35.0
Japan,125.8,4937.4,8.7,7450,10.9,91.8
South_Korea,51.8,1810.9,11.6,10350,8.1,81.4
Indonesia,273.5,1289.0,2.3,900,2.9,56.0
Thailand,69.8,543.5,3.8,2650,3.8,50.4
Vietnam,97.3,362.6,3.2,1850,6.1,37.3
Philippines,109.0,394.1,1.3,750,4.4,47.4
Malaysia,32.4,401.0,7.8,4650,3.8,76.6
Singapore,5.9,372.1,8.6,8350,4.1,100.0
Australia,25.7,1553.3,15.4,9950,9.3,86.2
New_Zealand,5.1,249.9,6.9,9300,9.7,86.7
